12
************************************************************************
 $Id: eii_ik.data,v 1.3 2011/04/12 22:17:51 mainegra Exp $
************************************************************************
Electron Impact Ionization cross sections for K, LI, LII and LIII shells
with binding energies above 1 keV in barn/atom.
Energy range: binding energy ... 10 GeV
Equidistant bins on a logarithmic grid.
The Kawrakow theory has been used to calculate the data.
Format is: max. energy, number of points 
For each element: Z, number of shells with U > 1 keV
For each such shell: global cross section maximum
                     N data points sigma/sigma_max
10000 250
 1 0
 2 0
 3 0
 4 0
 5 0
 6 0
 7 0
 8 0
 9 0
 10 0
 11 1
   33374.39    
 0.04459 0.12422 0.21579 0.31122 0.40583 0.49638 0.58085 0.65800 0.72713 0.78790
 0.84026 0.88441 0.92066 0.94940 0.97112 0.98639 0.99575 0.99980 0.99908 0.99412
 0.98546 0.97357 0.95890 0.94187 0.92285 0.90220 0.88022 0.85720 0.83337 0.80896
 0.78417 0.75915 0.73408 0.70906 0.68422 0.65964 0.63541 0.61161 0.58828 0.56547
 0.54322 0.52157 0.50053 0.48013 0.46037 0.44127 0.42282 0.40504 0.38790 0.37142
 0.35557 0.34036 0.32577 0.31178 0.29839 0.28558 0.27333 0.26163 0.25046 0.23980
 0.22964 0.21996 0.21075 0.20198 0.19365 0.18573 0.17821 0.17108 0.16431 0.15790
 0.15182 0.14608 0.14064 0.13551 0.13066 0.12608 0.12177 0.11770 0.11388 0.11029
 0.10692 0.10375 0.10079 0.09802 0.09544 0.09303 0.09079 0.08871 0.08678 0.08500
 0.08336 0.08186 0.08048 0.07923 0.07809 0.07707 0.07615 0.07533 0.07462 0.07399
 0.07346 0.07301 0.07264 0.07235 0.07213 0.07199 0.07191 0.07189 0.07193 0.07203
 0.07218 0.07239 0.07264 0.07294 0.07328 0.07366 0.07408 0.07453 0.07502 0.07554
 0.07609 0.07667 0.07727 0.07790 0.07854 0.07921 0.07990 0.08061 0.08134 0.08207
 0.08283 0.08360 0.08438 0.08517 0.08597 0.08678 0.08760 0.08843 0.08927 0.09011
 0.09097 0.09182 0.09268 0.09355 0.09443 0.09530 0.09618 0.09707 0.09796 0.09885
 0.09974 0.10064 0.10154 0.10244 0.10335 0.10425 0.10516 0.10607 0.10698 0.10789
 0.10881 0.10972 0.11064 0.11156 0.11248 0.11339 0.11431 0.11524 0.11616 0.11708
 0.11800 0.11893 0.11985 0.12078 0.12170 0.12263 0.12355 0.12448 0.12541 0.12633
 0.12726 0.12819 0.12912 0.13004 0.13097 0.13190 0.13283 0.13376 0.13469 0.13562
 0.13655 0.13748 0.13841 0.13934 0.14027 0.14120 0.14213 0.14306 0.14399 0.14492
 0.14585 0.14678 0.14771 0.14864 0.14957 0.15050 0.15144 0.15237 0.15330 0.15423
 0.15516 0.15609 0.15702 0.15795 0.15888 0.15982 0.16075 0.16168 0.16261 0.16354
 0.16447 0.16540 0.16634 0.16727 0.16820 0.16913 0.17006 0.17099 0.17193 0.17286
 0.17379 0.17472 0.17565 0.17658 0.17752 0.17845 0.17938 0.18031 0.18124 0.18217
 0.18311 0.18404 0.18497 0.18590 0.18683 0.18776 0.18870 0.18963 0.19056 0.19149
 12 1
   22391.20    
 0.04707 0.12624 0.21740 0.31222 0.40596 0.49569 0.57945 0.65603 0.72475 0.78528
 0.83755 0.88174 0.91816 0.94718 0.96927 0.98499 0.99488 0.99949 0.99939 0.99508
